,title,movieId,rating_avg
0,'71 (2014),117867,4.0
1,'Hellboy': The Seeds of Creation (2004),97757,4.0
2,'Round Midnight (1986),53128,3.5
3,'Salem's Lot (2004),27751,5.0
4,'Til There Was You (1997),1558,4.0
5,'Tis the Season for Love (2015),149380,1.5
6,"'burbs, The (1989)",35224,3.2
7,'night Mother (1986),3112,3.0
8,(500) Days of Summer (2009),2929794,3.7
9,*batteries not included (1987),57183,3.3
10,...All the Marbles (1981),5706,2.0
11,...And Justice for All (1979),10260,3.2
12,00 Schneider - Jagd auf Nihil Baxter (1994),157110,4.5
13,1-900 (06) (1994),889,4.0
14,10 (1979),26632,3.4
15,10 Cent Pistol (2015),279434,1.2
16,10 Cloverfield Lane (2016),2129078,3.7
17,10 Items or Less (2006),147852,2.7
18,10 Things I Hate About You (1999),138888,3.5
19,10 Years (2011),98230,3.5
20,"10,000 BC (2008)",990981,2.7
21,100 Girls (2000),30164,3.2
22,100 Streets (2016),168350,2.5
23,101 Dalmatians (1996),64249,3.1
24,101 Dalmatians (One Hundred and One Dalmatians) (1961),91740,3.4
25,101 Dalmatians II: Patch's London Adventure (2003),121099,2.5
26,101 Reykjavik (101 Reykjavík) (2000),6344,3.5
27,102 Dalmatians (2000),35919,2.8
28,10th & Wolf (2006),55391,4.5
29,"10th Kingdom, The (2000)",54502,2.8
30,"10th Victim, The (La decima vittima) (1965)",4434,4.0
31,"11'09""01 - September 11 (2002)",15578,4.0
32,11:14 (2003),110696,3.8
33,"11th Hour, The (2007)",66320,4.0
34,12 Angry Men (1957),68571,4.1
35,12 Angry Men (1997),77846,5.0
36,12 Chairs (1971),141844,4.5
37,12 Chairs (1976),141816,5.0
38,12 Rounds (2009),211083,3.0
39,12 Years a Slave (2013),1693504,3.6
40,127 Hours (2010),1468116,3.8
41,13 Assassins (Jûsan-nin no shikaku) (2010),344568,4.0
42,13 Ghosts (1960),19168,3.1
43,13 Going on 30 (2004),156324,3.2
44,13 Hours (2016),691050,3.3
45,13 Sins (2014),110286,3.5
46,13 Tzameti (2005),48872,4.5
47,13th (2016),329834,4.5
48,"13th Warrior, The (1999)",73476,2.9
49,1408 (2007),1348825,3.2
50,1492: Conquest of Paradise (1992),8905,2.5
51,15 Minutes (2001),41670,3.0
52,16 Blocks (2006),395424,3.0
53,17 Again (2009),681350,3.5
54,1776 (1972),10944,3.5
55,18 Again! (1988),8924,1.5
56,187 (One Eight Seven) (1997),4827,2.7
57,1900 (Novecento) (1976),26359,4.5
58,1941 (1979),21312,2.7
59,1969 (1988),4463,2.0
60,1984 (Nineteen Eighty-Four) (1984),29638,3.7
61,2 Days in New York (2012),95744,2.5
62,2 Days in Paris (2007),54796,3.5
63,2 Days in the Valley (1996),11988,3.0
64,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",121277,2.6
65,2 Guns (2013),311649,4.0
66,20 Dates (1998),17444,3.0
67,20 Feet from Stardom (Twenty Feet from Stardom) (2013),206214,4.2
68,20 Million Miles to Earth (1957),5468,5.0
69,"20,000 Days on Earth (2014)",114066,4.0
70,"20,000 Leagues Under the Sea (1916)",124766,3.8
71,"20,000 Leagues Under the Sea (1954)",17323,3.5
72,200 Cigarettes (1999),15024,3.2
73,2001 Maniacs (2005),102996,3.2
74,2001: A Space Odyssey (1968),100716,3.9
75,2010: The Year We Make Contact (1984),39287,3.6
76,2012 (2009),1519938,2.6
77,2046 (2004),190862,4.1
78,2048: Nowhere to Run (2017),179053,3.5
79,21 (2008),1058454,3.8
80,21 Grams (2003),173825,3.3
81,21 Jump Street (2012),2431260,3.9
82,21 Up (1977),158301,4.0
83,21 and Over (2013),402028,3.6
84,22 Jump Street (2014),2130622,3.7
85,24 Hour Party People (2002),38556,3.6
86,25th Hour (2002),130988,3.8
87,27 Dresses (2008),1138980,3.3
88,28 Days (2000),88350,3.3
89,28 Days Later (2002),377116,4.0
90,28 Up (1985),22698,4.0
91,28 Weeks Later (2007),1113000,3.6
92,3 Days to Kill (2014),219138,1.0
93,3 Extremes (Three... Extremes) (Saam gaang yi) (2004),101688,3.3
94,3 Idiots (2009),147762,4.8
95,3 Ninjas (1992),28488,2.1
96,3 Ninjas Kick Back (1994),9498,1.2
97,3 Ninjas Knuckle Up (1995),4750,0.5
98,3 Ninjas: High Noon On Mega Mountain (1998),1739,4.0
99,3 Women (Three Women) (1977),24783,4.2
100,3 dev adam (Three Giant Men) (1973) ,104017,0.5
101,3-Iron (Bin-jip) (2004),92409,4.5
102,30 Days of Night (2007),608102,3.2
103,30 Minutes or Less (2011),532872,2.7
104,300 (2007),4132960,3.7
105,3000 Miles to Graceland (2001),29113,2.7
106,300: Rise of an Empire (2014),438692,2.1
107,31 (2016),163981,3.5
108,35 Up (1991),80136,4.0
109,"39 Steps, The (1935)",10615,4.0
110,3:10 to Yuma (1957),5300,4.0
111,3:10 to Yuma (2007),1374925,4.1
112,4 Little Girls (1997),8434,4.2
113,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",165207,4.0
114,40 Days and 40 Nights (2002),92718,3.0
115,"40-Year-Old Virgin, The (2005)",2651864,3.5
116,"400 Blows, The (Les quatre cents coups) (1959)",32772,4.0
117,42 (2013),101895,4.0
118,42 Up (1998),6154,4.0
119,42nd Street (1933),21240,4.0
120,47 Ronin (2013),745437,2.6
121,48 Hrs. (1982),55539,3.6
122,49 Up (2005),101316,4.0
123,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),194979,3.5
124,5 to 7 (2014),134021,2.5
125,"5,000 Fingers of Dr. T, The (1953)",8588,4.0
126,50 First Dates (2004),342771,3.6
127,50/50 (2011),1707416,3.6
128,52 Pick-Up (1986),7425,3.7
129,54 (1998),10940,2.0
130,6 Days to Air: The Making of South Park (2011),96411,4.0
131,61* (2001),27373,5.0
132,"6th Day, The (2000)",79720,2.8
133,"6th Man, The (Sixth Man, The) (1997)",12850,1.5
134,7 Days in Hell (2015),276408,4.0
135,7 Faces of Dr. Lao (1964),42556,5.0
