,movieId,title,rating_count,rating_avg,imdbId,tmdbId,tags,posterUrl
0,1,Toy Story (1995),215,3.9,114709.0,862.0,,NaN
1,2,Jumanji (1995),110,3.4,113497.0,8844.0,"['pixar', 'pixar', 'fun']",NaN
2,3,Grumpier Old Men (1995),52,3.3,113228.0,15602.0,"['fantasy', 'magic board game', 'Robin Williams', 'game']",NaN
3,4,Waiting to Exhale (1995),7,2.4,114885.0,31357.0,"['moldy', 'old']",NaN
4,5,Father of the Bride Part II (1995),49,3.1,113041.0,11862.0,,NaN
5,6,Heat (1995),102,3.9,113277.0,949.0,pregnancy| remake,NaN
6,7,Sabrina (1995),54,3.2,114319.0,11860.0,,NaN
7,8,Tom and Huck (1995),8,2.9,112302.0,45325.0,remake,NaN
8,9,Sudden Death (1995),16,3.1,114576.0,9091.0,,NaN
9,10,GoldenEye (1995),132,3.5,113189.0,710.0,,NaN
10,11,"American President, The (1995)",70,3.7,112346.0,9087.0,,NaN
11,12,Dracula: Dead and Loving It (1995),19,2.4,112896.0,12110.0,politics| president,NaN
12,13,Balto (1995),8,3.1,112453.0,21032.0,,NaN
13,14,Nixon (1995),18,3.8,113987.0,10858.0,,NaN
14,15,Cutthroat Island (1995),13,3.0,112760.0,1408.0,politics| president,NaN
15,16,Casino (1995),82,3.9,112641.0,524.0,,NaN
16,17,Sense and Sensibility (1995),67,3.8,114388.0,4584.0,Mafia,NaN
17,18,Four Rooms (1995),20,3.7,113101.0,5.0,Jane Austen,NaN
18,19,Ace Ventura: When Nature Calls (1995),88,2.7,112281.0,9273.0,,NaN
19,20,Money Train (1995),15,2.5,113845.0,11517.0,,NaN
20,21,Get Shorty (1995),89,3.5,113161.0,8012.0,,NaN
21,22,Copycat (1995),36,3.2,112722.0,1710.0,Hollywood,NaN
22,23,Assassins (1995),16,3.1,112401.0,9691.0,serial killer,NaN
23,24,Powder (1995),28,3.1,114168.0,12665.0,,NaN
24,25,Leaving Las Vegas (1995),76,3.6,113627.0,451.0,,NaN
25,26,Othello (1995),13,3.5,114057.0,16420.0,alcoholism,NaN
26,27,Now and Then (1995),9,3.3,114011.0,9263.0,Shakespeare,NaN
