country,points
Australia,100
US,100
Portugal,100
Italy,100
France,100
Austria,98
Spain,98
Germany,98
Argentina,97
Hungary,97
England,95
South Africa,95
Chile,95
New Zealand,95
Israel,94
Canada,94
Greece,93
India,93
Morocco,93
Uruguay,92
Mexico,92
Slovenia,92
Georgia,92
Romania,92
Turkey,92
Bulgaria,91
Lebanon,91
Moldova,91
Croatia,91
Switzerland,90
Luxembourg,90
Serbia,89
Brazil,89
China,89
Macedonia,89
Cyprus,89
Czech Republic,89
Armenia,88
Bosnia and Herzegovina,88
Ukraine,88
Slovakia,87
Peru,86
Egypt,84
